PII nr 0 True entity idx (action) in pool: 0 
 Action 4, score:  0.39989470374130176
 Action 4, score:  0.39989470329892357
 Action 3, score:  0.3998947032450815
 Action 0, score:  0.399894702952588
 Action 4, score:  0.39989470302680274
 Action 5, score:  0.39989470278669614
 Action 4, score:  0.3998947038955521
 Action 3, score:  0.3998947039595805
 Action 2, score:  0.39989470308937597
 Action 3, score:  0.3998947033454897
 Action 5, score:  0.39989470287109724
 Action 5, score:  0.39989470322179843
 Action 5, score:  0.3998947027488612
 Action 3, score:  0.3998947030282579
 Action 2, score:  0.39989470376458486
 Action 3, score:  0.39989470346481537
 Action 3, score:  0.39989470395375976
 Action 3, score:  0.39989470257714854
 Action 3, score:  0.39989470316795633
 Action 0, score:  0.3998947038257029
 Action 3, score:  0.39989470333821375
 Action 3, score:  0.39989470329892357
 Action 1, score:  0.39989470421569423
 Action 5, score:  0.3998947034182493
PII nr 2 True entity idx (action) in pool: 0 
 Action 2, score:  3.7553959070161604e-05
 Action 4, score:  3.80189297478258e-05
 Action 0, score:  8.059748870437033e-05
 Action 1, score:  3.496421292463007e-05
 Action 3, score:  3.622280746640172e-05
 Action 3, score:  3.806729243175747e-05
 Action 5, score:  3.7929810787318274e-05
 Action 5, score:  3.7045768597939364e-05
 Action 5, score:  3.631988147390075e-05
 Action 1, score:  3.5011107684113085e-05
 Action 0, score:  3.478725678481472e-05
 Action 4, score:  3.609588869342891e-05
 Action 2, score:  3.482362202097041e-05
 Action 3, score:  3.46546888370843e-05
 Action 1, score:  3.4797828144898325e-05
 Action 0, score:  3.469995135674253e-05
 Action 5, score:  3.489387624237376e-05
 Action 4, score:  3.481568091956433e-05
 Action 2, score:  3.488531001494266e-05
 Action 3, score:  3.4901182516478e-05
 Action 0, score:  3.4738118605067335e-05
 Action 4, score:  3.485534944047686e-05
 Action 2, score:  3.484455495102642e-05
 Action 4, score:  3.482809794756273e-05
 Action 2, score:  3.491547370989186e-05
 Action 5, score:  3.486901186988689e-05
 Action 0, score:  3.4809444817559175e-05
 Action 4, score:  3.4854547266149893e-05
 Action 2, score:  3.484291604157382e-05
 Action 5, score:  3.482963984424714e-05
 Action 2, score:  3.483602025274498e-05
 Action 1, score:  3.484518310870044e-05
 Action 4, score:  3.484252495885206e-05
 Action 5, score:  3.4831898422756545e-05
 Action 1, score:  3.483790351310745e-05
 Action 4, score:  3.484710517417019e-05
 Action 2, score:  3.483774829267835e-05
 Action 0, score:  3.484574820807514e-05
 Action 0, score:  3.483462205622345e-05
 Action 0, score:  3.4844569502941645e-05
 Action 3, score:  3.4843581185365714e-05
 Action 0, score:  3.4843873436329886e-05
 Action 5, score:  3.484080904551471e-05
 Action 3, score:  3.48440868644199e-05
 Action 3, score:  3.484405533527024e-05
 Action 5, score:  3.4839378107183926e-05
 Action 2, score:  3.4841072192648426e-05
 Action 3, score:  3.484091575955972e-05
 Action 4, score:  3.484267411598315e-05
 Action 0, score:  3.4842879055455946e-05
 Action 1, score:  3.484188831256082e-05
 Action 0, score:  3.484187376064559e-05
 Action 1, score:  3.484375277669945e-05
 Action 5, score:  3.4842055659585945e-05
 Action 3, score:  3.4841167992757015e-05
 Action 1, score:  3.4841728847823106e-05
 Action 5, score:  3.484077145306704e-05
 Action 0, score:  3.484191620373167e-05
 Action 5, score:  3.4841962891126364e-05
 Action 1, score:  3.484201746080847e-05
 Action 0, score:  3.4841742793408535e-05
 Action 0, score:  3.4841759770642966e-05
 Action 1, score:  3.484170883893967e-05
 Action 5, score:  3.4841718540216483e-05
 Action 0, score:  3.484170883893967e-05
 Action 1, score:  3.4841718540216483e-05
 Action 5, score:  3.4841718540216483e-05
 Action 1, score:  3.484173673011052e-05
 Action 5, score:  3.4841718540216483e-05
 Action 5, score:  3.4841712476918474e-05
 Action 1, score:  3.4841693074364834e-05
 Action 2, score:  3.484171368957808e-05
 Action 3, score:  3.484169913766285e-05
 Action 1, score:  3.484170883893967e-05
 Action 1, score:  3.4841706413620464e-05
 Action 1, score:  3.484168216042841e-05
 Action 0, score:  3.48417258161741e-05
 Action 5, score:  3.4841718540216483e-05
 Action 0, score:  3.484169913766285e-05
 Action 5, score:  3.4841693074364834e-05
 Action 2, score:  3.484171005159927e-05
 Action 0, score:  3.484171368957808e-05
 Action 2, score:  3.484167730979001e-05
 Action 4, score:  3.484168458574762e-05
 Action 3, score:  3.484170883893967e-05
 Action 1, score:  3.4841718540216483e-05
 Action 5, score:  3.4841687011066824e-05
 Action 2, score:  3.484171005159927e-05
 Action 1, score:  3.484169549968404e-05
 Action 0, score:  3.484170277564166e-05
 Action 1, score:  3.484170520096086e-05
 Action 0, score:  3.484171368957808e-05
 Action 4, score:  3.484167730979001e-05
 Action 3, score:  3.484169428702444e-05
 Action 0, score:  3.484171368957808e-05
 Action 3, score:  3.4841718540216483e-05
 Action 5, score:  3.484172824149331e-05
 Action 5, score:  3.484173309213171e-05
 Action 0, score:  3.484169913766285e-05
 Action 1, score:  3.484168943638603e-05
PII nr 3 True entity idx (action) in pool: 0 
 Action 1, score:  0.000227143111260375
 Action 2, score:  0.00027756110357586295
 Action 2, score:  0.0002206460885645356
 Action 0, score:  0.0002465606208716054
 Action 1, score:  0.00022845524290460162
 Action 4, score:  0.0002559646032750607
 Action 4, score:  0.0002655624310136773
 Action 5, score:  0.00025738551339600236
 Action 5, score:  0.0002833492020727135
 Action 4, score:  0.0002571359073044732
 Action 5, score:  0.00023696075004409067
 Action 0, score:  0.00024310671578859911
 Action 3, score:  0.0002336348974495195
 Action 5, score:  0.0002491091683623381
 Action 3, score:  0.0002419728902168572
 Action 3, score:  0.00023983733190107158
 Action 3, score:  0.000250325576053001
 Action 0, score:  0.0002458983988617547
 Action 4, score:  0.0002487678939360194
 Action 1, score:  0.00024797307050903326
 Action 2, score:  0.00024744467809796334
 Action 3, score:  0.00024798856466077266
 Action 1, score:  0.0002465403136739042
 Action 3, score:  0.00024698178021935745
 Action 2, score:  0.00024833250790834427
 Action 5, score:  0.00024849695473676546
