fpr,tpr,PERSON_tp_ratio,CODE_tp_ratio,LOC_tp_ratio,ORG_tp_ratio,DEM_tp_ratio,DATETIME_tp_ratio,QUANTITY_tp_ratio,MISC_tp_ratio,PERSON_fp_ratio,CODE_fp_ratio,LOC_fp_ratio,ORG_fp_ratio,DEM_fp_ratio,DATETIME_fp_ratio,QUANTITY_fp_ratio,MISC_fp_ratio
0.9962962962962963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9962962962962963,1.0,0.20470400637831374,0.02222443691449073,0.08640621885588998,0.16992226430137533,0.057504484751843735,0.2034084114012358,0.035280047837353,0.2205501295594977,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.7272727272727273
0.9962962962962963,1.0,0.20470400637831374,0.02222443691449073,0.08640621885588998,0.16992226430137533,0.057504484751843735,0.2034084114012358,0.035280047837353,0.2205501295594977,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.7272727272727273
0.9962962962962963,1.0,0.20470400637831374,0.02222443691449073,0.08640621885588998,0.16992226430137533,0.057504484751843735,0.2034084114012358,0.035280047837353,0.2205501295594977,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.7272727272727273
0.9962962962962963,1.0,0.20470400637831374,0.02222443691449073,0.08640621885588998,0.16992226430137533,0.057504484751843735,0.2034084114012358,0.035280047837353,0.2205501295594977,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.7272727272727273
0.9864197530864197,1.0,0.20386430302257366,0.024486672618288484,0.08793521234536411,0.17561535518428772,0.04859074097691621,0.24110445096288738,0.04374442035454661,0.17465884453513583,0.09270704573547589,0.014833127317676144,0.022249690976514216,0.27441285537700866,0.02595797280593325,0.40914709517923364,0.08529048207663782,0.0754017305315204
0.9864197530864197,1.0,0.20386430302257366,0.024486672618288484,0.08793521234536411,0.17561535518428772,0.04859074097691621,0.24110445096288738,0.04374442035454661,0.17465884453513583,0.09270704573547589,0.014833127317676144,0.022249690976514216,0.27441285537700866,0.02595797280593325,0.40914709517923364,0.08529048207663782,0.0754017305315204
0.9864197530864197,1.0,0.20386430302257366,0.024486672618288484,0.08793521234536411,0.17561535518428772,0.04859074097691621,0.24110445096288738,0.04374442035454661,0.17465884453513583,0.09270704573547589,0.014833127317676144,0.022249690976514216,0.27441285537700866,0.02595797280593325,0.40914709517923364,0.08529048207663782,0.0754017305315204
0.9864197530864197,1.0,0.20386430302257366,0.024486672618288484,0.08793521234536411,0.17561535518428772,0.04859074097691621,0.24110445096288738,0.04374442035454661,0.17465884453513583,0.09270704573547589,0.014833127317676144,0.022249690976514216,0.27441285537700866,0.02595797280593325,0.40914709517923364,0.08529048207663782,0.0754017305315204
0.9814814814814815,1.0,0.19603170204511444,0.024497034861164994,0.08064069168098431,0.18450368563986033,0.04472648672615419,0.26392506789336584,0.041678213157457185,0.1639971179958987,0.2521389028686462,0.021640664318067437,0.033719174635128336,0.23553095118268746,0.017111222949169603,0.31353799698037244,0.06643180674383492,0.05988928032209361
0.9814814814814815,1.0,0.19603170204511444,0.024497034861164994,0.08064069168098431,0.18450368563986033,0.04472648672615419,0.26392506789336584,0.041678213157457185,0.1639971179958987,0.2521389028686462,0.021640664318067437,0.033719174635128336,0.23553095118268746,0.017111222949169603,0.31353799698037244,0.06643180674383492,0.05988928032209361
0.9814814814814815,1.0,0.19603170204511444,0.024497034861164994,0.08064069168098431,0.18450368563986033,0.04472648672615419,0.26392506789336584,0.041678213157457185,0.1639971179958987,0.2521389028686462,0.021640664318067437,0.033719174635128336,0.23553095118268746,0.017111222949169603,0.31353799698037244,0.06643180674383492,0.05988928032209361
0.9814814814814815,1.0,0.19603170204511444,0.024497034861164994,0.08064069168098431,0.18450368563986033,0.04472648672615419,0.26392506789336584,0.041678213157457185,0.1639971179958987,0.2521389028686462,0.021640664318067437,0.033719174635128336,0.23553095118268746,0.017111222949169603,0.31353799698037244,0.06643180674383492,0.05988928032209361
0.9814814814814815,1.0,0.19603170204511444,0.024497034861164994,0.08064069168098431,0.18450368563986033,0.04472648672615419,0.26392506789336584,0.041678213157457185,0.1639971179958987,0.2521389028686462,0.021640664318067437,0.033719174635128336,0.23553095118268746,0.017111222949169603,0.31353799698037244,0.06643180674383492,0.05988928032209361
0.9728395061728395,1.0,0.19668896482025122,0.024447759757447424,0.07786707733769671,0.1940901872082391,0.04480485105154242,0.26002213773521343,0.037345396794840946,0.16473362529476876,0.22876667751383015,0.021151968760169216,0.05076472502440612,0.27725349821021805,0.02050113895216401,0.2870159453302961,0.04685974617637488,0.06768630003254149
0.9728395061728395,1.0,0.19668896482025122,0.024447759757447424,0.07786707733769671,0.1940901872082391,0.04480485105154242,0.26002213773521343,0.037345396794840946,0.16473362529476876,0.22876667751383015,0.021151968760169216,0.05076472502440612,0.27725349821021805,0.02050113895216401,0.2870159453302961,0.04685974617637488,0.06768630003254149
0.9728395061728395,1.0,0.19668896482025122,0.024447759757447424,0.07786707733769671,0.1940901872082391,0.04480485105154242,0.26002213773521343,0.037345396794840946,0.16473362529476876,0.22876667751383015,0.021151968760169216,0.05076472502440612,0.27725349821021805,0.02050113895216401,0.2870159453302961,0.04685974617637488,0.06768630003254149
